Match_id,Team1,Team2,Format,Ground,Year,Toss,Selection,fi_score,fi_wickets,fi_4s,fi_6s,fi_extra,fi_run_rate,fi_avg_str_rate,fi_max_score,fi_max_indv_wickets,PlayerOfTheMatch,Result,si_score,si_wickets,si_4s,si_6s,si_extras,si_run_rate,si_avg_str_rate,si_max_score,si_max_indv_wickets
48,Sri Lanka,Bangladesh,ODI,Colombo(RPS),2004,Bangladesh,Batting,191,0,15,0,20,5.7,84.97,107,3,Sanath Jayasuriya,Sri Lanka,190,9,12,1,20,3.8,79.55,66,0
49,India,Pakistan,ODI,Colombo(RPS),2004,Pakistan,Batting,241,8,18,1,38,4.82,59.68,78,3,Shoaib Malik,Pakistan,300,9,29,2,21,6,68.11,143,2
50,Sri Lanka,India,ODI,Colombo(RPS),2004,India,Batting,267,9,20,3,26,5.34,72.7,130,2,Virender Sehwag,India,271,6,23,2,20,5.42,84.49,79,3
51,Bangladesh,Pakistan,ODI,Colombo(RPS),2004,Bangladesh,Batting,166,10,12,0,37,3.66,34.08,54,1,Shoaib Malik,Pakistan,167,4,22,0,10,4.07,62.75,48,3
52,Sri Lanka,India,ODI,Colombo(RPS),2004,Sri Lanka,Batting,228,9,18,0,32,4.56,60.69,65,3,Marvan Atapattu,Sri Lanka,203,9,13,3,25,4.06,58.39,74,2
53,Bangladesh,UAE,ODI,Lahore,2008,Bangladesh,Batting,300,8,22,1,18,6,95.6,109,3,Mohammad Ashraful,Bangladesh,204,10,22,1,10,4.46,57.53,78,3
54,Pakistan,Hong Kong,ODI,Karachi,2008,Pakistan,Batting,288,9,30,1,12,5.76,79.88,67,2,Sohail Tanvir,Pakistan,133,10,13,0,16,3.56,40.08,26,4
55,Bangladesh,Sri Lanka,ODI,Lahore,2008,Bangladesh,Bowling,226,7,13,2,20,4.52,60.82,44,3,Kumar Sangakkara,Sri Lanka,357,9,36,5,22,7.14,97.7,101,2
56,Hong Kong,India,ODI,Karachi,2008,India,Batting,118,10,17,0,9,3.2,40.44,25,2,Suresh Raina,India,374,4,33,14,9,7.48,123.06,109,4
57,Pakistan,India,ODI,Karachi,2008,Pakistan,Batting,299,4,33,1,7,5.98,123.3,125,2,Suresh Raina,India,301,4,25,12,15,7.13,85.13,119,1
58,Sri Lanka,UAE,ODI,Lahore,2008,Sri Lanka,Batting,290,9,22,0,19,5.8,80.53,67,5,Ajantha Mendis,Sri Lanka,148,10,16,0,9,4.05,42.01,77,3
59,Bangladesh,India,ODI,Karachi,2008,Bangladesh,Batting,283,6,27,6,14,5.66,71.07,115,2,Suresh Raina,India,284,3,25,6,18,6.55,86.45,116,2
60,Pakistan,Sri Lanka,ODI,Karachi,2008,Pakistan,Bowling,238,9,17,4,3,4.76,62.63,76,5,Kumar Sangakkara,Sri Lanka,302,7,26,4,23,6.04,93.22,112,4
61,Bangladesh,Sri Lanka,ODI,Karachi,2008,Sri Lanka,Batting,174,10,20,1,14,4.51,55.06,52,2,Sanath Jayasuriya,Sri Lanka,332,8,36,8,10,6.64,96.79,130,5
62,Pakistan,India,ODI,Karachi,2008,India,Batting,309,2,35,2,6,6.79,137.17,123,3,Younis Khan,Pakistan,308,7,26,3,13,6.16,89.22,76,1
63,India,Sri Lanka,ODI,Karachi,2008,Sri Lanka,Batting,310,4,30,3,21,6.61,103.26,68,2,MS Dhoni,India,308,8,30,3,15,6.16,107.2,75,2
64,Pakistan,Bangladesh,ODI,Karachi,2008,Bangladesh,Batting,116,0,14,2,8,5.89,91.59,56,3,Abdur Rauf,Pakistan,115,10,8,2,16,3,38.31,26,0
65,India,Sri Lanka,ODI,Karachi,2008,India,Bowling,173,10,23,0,3,4.37,50.41,60,3,Ajantha Mendis,Sri Lanka,273,10,21,5,9,5.47,82.77,125,6
66,Sri Lanka,Pakistan,ODI,Dambulla,2010,Sri Lanka,Batting,242,9,17,1,11,4.84,73.73,55,5,Shahid Afridi,Sri Lanka,226,10,12,7,15,4.8,48.35,109,3
67,Bangladesh,India,ODI,Dambulla,2010,Bangladesh,Batting,167,10,15,1,21,4.79,61.7,37,2,Gautam Gambhir,India,168,4,11,1,25,5.47,65.7,82,4
68,Sri Lanka,Bangladesh,ODI,Dambulla,2010,Sri Lanka,Batting,312,4,28,5,13,6.24,106.19,71,3,Tillakaratne Dilshan,Sri Lanka,186,10,17,1,18,4.61,56.09,51,2
69,India,Pakistan,ODI,Dambulla,2010,Pakistan,Batting,271,7,14,6,24,5.43,92.55,83,3,Gautam Gambhir,India,267,10,20,4,11,5.39,70.7,74,3
70,Bangladesh,Pakistan,ODI,Dambulla,2010,Pakistan,Batting,246,5,18,2,12,4.92,67.64,97,3,Shahid Afridi,Pakistan,385,7,41,10,11,7.7,129.98,124,1
71,Sri Lanka,India,ODI,Dambulla,2010,Sri Lanka,Bowling,211,3,25,2,16,5.62,90.14,73,5,Farveez Maharoof,Sri Lanka,209,10,23,1,6,4.91,45.94,69,2
72,Sri Lanka,India,ODI,Dambulla,2010,India,Batting,187,10,16,1,18,4.18,53.4,55,2,Dinesh Karthik,India,268,6,24,1,19,5.36,87,66,4
73,Bangladesh,Pakistan,ODI,Mirpur,2012,Bangladesh,Bowling,241,10,20,3,7,5,55.13,64,3,Mohammad Hafeez,Pakistan,262,8,21,2,8,5.24,95.87,89,3
74,India,Sri Lanka,ODI,Mirpur,2012,Sri Lanka,Bowling,304,3,24,2,14,6.08,111.94,108,4,Virat Kohli,India,254,10,20,5,8,5.62,73.82,78,2
75,Pakistan,Sri Lanka,ODI,Mirpur,2012,Sri Lanka,Batting,189,4,21,3,5,4.74,64.33,77,4,Aizaz Cheema,Pakistan,188,10,14,1,9,4.11,42.65,71,2
76,Bangladesh,India,ODI,Mirpur,2012,Bangladesh,Bowling,293,5,24,6,12,5.93,116.73,70,2,Shakib Al Hasan,Bangladesh,289,5,25,3,18,5.78,116.94,114,3
77,India,Pakistan,ODI,Mirpur,2012,Pakistan,Batting,330,4,34,4,11,6.89,152.32,183,2,Virat Kohli,India,329,6,27,2,15,6.58,86.28,112,2
78,Bangladesh,Sri Lanka,ODI,Mirpur,2012,Bangladesh,Bowling,212,5,23,0,20,5.7,72.18,59,3,Shakib Al Hasan,Sri Lanka,232,10,19,1,11,4.65,64.14,62,2
79,Bangladesh,Pakistan,ODI,Mirpur,2012,Bangladesh,Bowling,234,8,20,1,11,4.68,76.41,68,2,Shahid Afridi,Pakistan,236,9,19,3,18,4.72,74.75,46,3
80,Pakistan,Sri Lanka,ODI,Fatullah,2014,Sri Lanka,Batting,284,10,26,6,13,5.81,101.36,74,2,Lasith Malinga,Sri Lanka,296,6,29,2,18,5.92,86.84,102,5
81,Bangladesh,India,ODI,Fatullah,2014,India,Bowling,279,7,20,6,18,5.58,81.02,117,1,Virat Kohli,India,280,4,29,4,11,5.71,82.58,136,4
82,Afghanistan,Pakistan,ODI,Fatullah,2014,Afghanistan,Bowling,176,10,18,0,13,3.71,45.44,44,2,Umar Akmal,Pakistan,248,8,22,5,5,4.96,70.21,102,3
83,India,Sri Lanka,ODI,Fatullah,2014,Sri Lanka,Bowling,264,9,17,5,11,5.28,82.73,94,3,Kumar Sangakkara,Sri Lanka,265,8,25,4,8,5.37,85.75,103,4
84,Bangladesh,Afghanistan,ODI,Fatullah,2014,Bangladesh,Bowling,222,10,16,4,12,4.64,52.1,50,2,Samiullah Shinwari,Afghanistan,254,6,21,5,17,5.08,55.1,90,3
85,India,Pakistan,ODI,Mirpur,2014,Pakistan,Bowling,245,8,23,5,8,4.9,74.32,58,3,Mohammad Hafeez,Pakistan,249,9,16,8,17,5.01,68.36,75,3
86,Afghanistan,Sri Lanka,ODI,Mirpur,2014,Sri Lanka,Batting,124,10,11,2,9,3.2,38.46,37,2,Kumar Sangakkara,Sri Lanka,253,6,18,2,18,5.06,79.39,76,3
87,Bangladesh,Pakistan,ODI,Mirpur,2014,Bangladesh,Batting,326,3,31,8,21,6.52,138.5,100,2,Shahid Afridi,Pakistan,329,7,29,10,13,6.6,114.45,103,2
88,Afghanistan,India,ODI,Mirpur,2014,India,Bowling,159,10,16,2,14,3.5,45.2,50,1,Ravindra Jadeja,India,160,2,13,1,5,4.94,78.63,60,4
89,Bangladesh,Sri Lanka,ODI,Mirpur,2014,Bangladesh,Batting,204,9,14,1,17,4.08,49.51,49,2,Angelo Mathews,Sri Lanka,208,7,19,1,9,4.24,55.16,74,2
90,Pakistan,Sri Lanka,ODI,Mirpur,2014,Pakistan,Batting,260,5,21,5,6,5.2,86.61,114,3,Lasith Malinga,Sri Lanka,261,5,33,2,8,5.63,78.52,101,5
91,Bangladesh,India,T20I,Mirpur,2016,Bangladesh,Bowling,121,7,8,3,10,6.05,72.89,44,3,Rohit Sharma,India,166,6,15,5,7,8.3,146.48,83,3
92,Sri Lanka,UAE,T20I,Mirpur,2016,UAE,Bowling,129,8,14,1,5,6.45,87.84,50,4,Lasith Malinga,Sri Lanka,115,9,7,2,16,5.75,65.1,37,3
93,Bangladesh,UAE,T20I,Mirpur,2016,UAE,Bowling,133,8,8,5,5,6.65,64.8,47,2,Mahmudullah,Bangladesh,82,10,7,4,3,4.64,50.99,30,2
